home,away,home_goals,away_goals,played_on,neutral,competition_weight
Morocco,Senegal,0,1,2024-12-20,0,0.8
Brazil,Germany,2,0,2024-12-20,0,0.8
Switzerland,Poland,0,0,2024-12-20,1,1.0
Mexico,USA,1,0,2024-12-21,0,0.8
Spain,Uruguay,1,0,2024-12-21,0,0.8
France,Ghana,4,2,2024-12-21,1,1.0
England,Mexico,0,2,2024-12-21,1,1.0
Netherlands,Germany,3,4,2024-12-21,0,0.8
Germany,Senegal,1,2,2024-12-21,0,0.8
France,England,2,0,2024-12-21,1,1.0
Germany,USA,1,1,2024-12-22,0,0.8
Netherlands,Croatia,4,1,2024-12-22,0,0.8
France,Denmark,4,1,2024-12-23,0,0.8
Belgium,Ghana,5,1,2024-12-23,0,0.8
England,Mexico,0,0,2024-12-23,0,0.8
France,Ghana,0,0,2024-12-23,1,1.0
Brazil,Germany,1,1,2024-12-23,1,1.0
Brazil,Australia,0,1,2024-12-23,0,0.8
Canada,Denmark,1,3,2024-12-24,0,0.8
Senegal,Brazil,0,5,2024-12-24,0,0.8
Canada,Australia,1,1,2024-12-24,0,0.8
Australia,France,2,1,2024-12-24,0,0.8
Mexico,Ghana,5,0,2024-12-25,0,0.8
South Korea,Mexico,0,0,2024-12-25,0,0.8
Netherlands,France,1,1,2024-12-25,0,0.8
Senegal,France,0,2,2024-12-25,1,1.0
Senegal,Australia,4,0,2024-12-25,0,0.8
Uruguay,Poland,3,0,2024-12-25,0,0.8
Italy,Uruguay,2,3,2024-12-25,0,0.8
Japan,Croatia,1,3,2024-12-25,0,0.8
Argentina,South Korea,3,1,2024-12-25,0,0.8
Morocco,USA,1,1,2024-12-26,0,0.8
Mexico,Croatia,4,2,2024-12-26,0,0.8
Japan,Brazil,1,1,2024-12-26,0,0.8
Uruguay,Portugal,0,2,2024-12-26,0,0.8
Canada,Belgium,1,3,2024-12-26,0,0.8
Portugal,Mexico,3,3,2024-12-26,0,0.8
France,Canada,2,0,2024-12-26,0,0.8
Senegal,Croatia,1,2,2024-12-26,0,0.8
Switzerland,England,1,1,2024-12-27,0,0.8
Switzerland,Australia,1,0,2024-12-27,0,0.8
Senegal,Ghana,2,0,2024-12-27,1,1.0
England,Canada,1,2,2024-12-27,1,1.0
Argentina,England,2,4,2024-12-27,0,0.8
Uruguay,Canada,4,3,2024-12-28,0,0.8
Brazil,Netherlands,2,3,2024-12-28,0,0.8
England,USA,2,0,2024-12-28,1,1.0
Croatia,Spain,0,0,2024-12-28,0,0.8
Argentina,Canada,2,0,2024-12-28,0,0.8
Germany,Belgium,2,1,2024-12-28,1,1.0
Netherlands,Germany,1,0,2024-12-28,0,0.8
Brazil,Netherlands,2,0,2024-12-29,0,0.8
Portugal,Spain,2,0,2024-12-29,1,1.0
Morocco,Switzerland,0,1,2024-12-29,1,1.0
Ghana,Australia,2,2,2024-12-29,0,0.8
Morocco,Belgium,0,1,2024-12-29,1,1.0
Argentina,France,0,0,2024-12-29,0,0.8
England,Senegal,0,0,2024-12-29,0,0.8
Netherlands,England,2,1,2024-12-29,0,0.8
Brazil,Poland,3,0,2024-12-30,0,0.8
Argentina,Switzerland,0,0,2024-12-30,0,0.8
Netherlands,Argentina,1,1,2024-12-30,0,0.8
USA,Uruguay,0,0,2024-12-31,0,0.8
Argentina,France,0,0,2024-12-31,1,1.0
Spain,Denmark,4,1,2024-12-31,0,0.8
Netherlands,Australia,3,0,2024-12-31,1,1.0
Croatia,Senegal,0,0,2024-12-31,1,1.0
Portugal,Belgium,2,0,2024-12-31,0,0.8
Italy,Netherlands,2,2,2024-12-31,0,0.8
France,USA,2,0,2025-01-01,0,0.8
Argentina,Poland,1,0,2025-01-01,0,0.8
Netherlands,Croatia,1,0,2025-01-01,0,0.8
Uruguay,Morocco,2,1,2025-01-01,0,0.8
Uruguay,Poland,2,0,2025-01-01,1,1.0
Switzerland,France,1,1,2025-01-01,1,1.0
Brazil,England,1,1,2025-01-02,1,1.0
Morocco,USA,0,1,2025-01-03,0,0.8
Italy,Brazil,0,1,2025-01-03,1,1.0
USA,Japan,0,0,2025-01-03,1,1.0
Switzerland,Canada,4,0,2025-01-03,0,0.8
Argentina,France,1,1,2025-01-04,1,1.0
Spain,USA,0,2,2025-01-04,0,0.8
Denmark,Argentina,1,1,2025-01-04,1,1.0
Poland,Portugal,3,0,2025-01-04,0,0.8
Canada,Portugal,0,0,2025-01-04,0,0.8
Japan,Morocco,1,1,2025-01-04,0,0.8
Australia,Italy,3,3,2025-01-04,0,0.8
Portugal,Germany,2,1,2025-01-05,1,1.0
Senegal,Croatia,0,1,2025-01-05,0,0.8
Ghana,Netherlands,3,2,2025-01-05,0,0.8
Netherlands,Argentina,0,1,2025-01-05,0,0.8
Germany,Senegal,2,1,2025-01-05,0,0.8
England,Belgium,2,1,2025-01-05,0,0.8
France,Canada,0,0,2025-01-06,1,1.0
Australia,Brazil,0,2,2025-01-06,0,0.8
Canada,Argentina,1,1,2025-01-06,0,0.8
Germany,Switzerland,1,2,2025-01-06,0,0.8
France,Portugal,0,0,2025-01-06,0,0.8
Spain,Japan,1,1,2025-01-06,0,0.8
Portugal,Japan,0,0,2025-01-07,0,0.8
Italy,Netherlands,1,2,2025-01-07,0,0.8
Australia,USA,2,1,2025-01-07,0,0.8
Japan,Switzerland,3,1,2025-01-07,0,0.8
Poland,Portugal,1,4,2025-01-08,0,0.8
Mexico,Netherlands,1,2,2025-01-08,0,0.8
France,Mexico,6,1,2025-01-08,0,0.8
Canada,Italy,1,1,2025-01-08,0,0.8
Netherlands,England,2,2,2025-01-08,0,0.8
Mexico,Croatia,1,1,2025-01-08,0,0.8
Germany,England,0,1,2025-01-08,1,1.0
South Korea,Netherlands,1,1,2025-01-09,1,1.0
Italy,Portugal,2,3,2025-01-09,1,1.0
Japan,Switzerland,1,2,2025-01-09,0,0.8
Senegal,Canada,2,3,2025-01-09,0,0.8
Spain,Morocco,1,3,2025-01-09,0,0.8
Belgium,France,2,0,2025-01-09,0,0.8
Belgium,USA,5,3,2025-01-09,1,1.0
Germany,Uruguay,1,0,2025-01-09,0,0.8
Canada,Morocco,1,2,2025-01-10,0,0.8
Australia,Argentina,4,1,2025-01-10,1,1.0
Spain,Denmark,2,1,2025-01-10,0,0.8
Mexico,Argentina,3,2,2025-01-10,0,0.8
Portugal,Argentina,0,2,2025-01-11,1,1.0
USA,Brazil,0,0,2025-01-11,1,1.0
Argentina,Morocco,3,0,2025-01-11,0,0.8
Croatia,Italy,2,0,2025-01-11,0,0.8
Croatia,Belgium,1,0,2025-01-12,0,0.8
USA,Argentina,2,2,2025-01-12,0,0.8
USA,South Korea,2,1,2025-01-12,1,1.0
Morocco,Belgium,2,2,2025-01-12,0,0.8
Australia,Canada,1,0,2025-01-12,0,0.8
Argentina,Belgium,1,1,2025-01-13,0,0.8
Australia,Italy,1,0,2025-01-13,0,0.8
Germany,England,1,0,2025-01-13,0,0.8
USA,Morocco,0,1,2025-01-13,1,1.0
Denmark,England,0,3,2025-01-14,1,1.0
Canada,Croatia,1,2,2025-01-14,1,1.0
Italy,Croatia,1,2,2025-01-14,0,0.8
Argentina,Japan,0,1,2025-01-15,0,0.8
Croatia,Netherlands,0,1,2025-01-15,1,1.0
Argentina,Netherlands,0,1,2025-01-15,1,1.0
Uruguay,Mexico,2,2,2025-01-15,0,0.8
Switzerland,Denmark,2,0,2025-01-16,0,0.8
Portugal,Morocco,2,2,2025-01-16,0,0.8
Japan,Argentina,1,1,2025-01-16,1,1.0
England,USA,3,0,2025-01-16,1,1.0
Belgium,Poland,1,1,2025-01-16,0,0.8
Mexico,Australia,2,1,2025-01-16,0,0.8
Netherlands,Croatia,3,3,2025-01-16,0,0.8
USA,Brazil,3,1,2025-01-16,0,0.8
Senegal,Mexico,0,1,2025-01-16,0,0.8
Ghana,Canada,2,2,2025-01-16,1,1.0
Ghana,Croatia,0,2,2025-01-17,0,0.8
Italy,Australia,8,1,2025-01-17,0,0.8
France,South Korea,2,0,2025-01-17,0,0.8
Portugal,Japan,2,2,2025-01-17,0,0.8
Japan,Mexico,0,2,2025-01-17,1,1.0
Uruguay,Portugal,1,1,2025-01-17,1,1.0
Mexico,Argentina,0,1,2025-01-17,1,1.0
France,Japan,1,2,2025-01-17,0,0.8
Germany,Poland,7,0,2025-01-18,0,0.8
Portugal,Italy,0,1,2025-01-18,0,0.8
Ghana,Canada,0,2,2025-01-18,1,1.0
Brazil,France,1,1,2025-01-18,0,0.8
Croatia,England,1,1,2025-01-18,0,0.8
England,Senegal,1,1,2025-01-18,0,0.8
Ghana,Australia,1,2,2025-01-18,0,0.8
Brazil,Spain,0,0,2025-01-19,0,0.8
Brazil,Uruguay,5,2,2025-01-19,0,0.8
Japan,Switzerland,1,0,2025-01-19,0,0.8
England,Belgium,0,2,2025-01-19,1,1.0
Italy,Uruguay,1,3,2025-01-19,0,0.8
Uruguay,Spain,0,1,2025-01-19,1,1.0
Brazil,Portugal,1,0,2025-01-19,1,1.0
Ghana,Belgium,0,3,2025-01-19,0,0.8
Spain,Australia,2,0,2025-01-19,0,0.8
Senegal,USA,2,1,2025-01-19,0,0.8
Uruguay,Denmark,1,0,2025-01-20,0,0.8
Japan,Switzerland,2,0,2025-01-20,0,0.8
Poland,Argentina,0,2,2025-01-20,0,0.8
Canada,Denmark,1,1,2025-01-20,0,0.8
Argentina,Japan,1,1,2025-01-20,0,0.8
Denmark,Croatia,3,3,2025-01-21,1,1.0
Australia,Netherlands,3,1,2025-01-21,1,1.0
Senegal,Spain,0,2,2025-01-21,0,0.8
Mexico,England,1,0,2025-01-21,0,0.8
England,Poland,2,0,2025-01-22,1,1.0
Denmark,Netherlands,2,0,2025-01-22,0,0.8
Uruguay,Belgium,0,2,2025-01-22,0,0.8
Belgium,Switzerland,3,1,2025-01-22,0,0.8
Switzerland,Brazil,0,0,2025-01-22,0,0.8
Switzerland,Denmark,3,1,2025-01-22,0,0.8
Poland,Japan,1,2,2025-01-22,0,0.8
Brazil,Switzerland,3,0,2025-01-22,0,0.8
Uruguay,Canada,2,2,2025-01-22,0,0.8
Netherlands,Japan,0,0,2025-01-22,1,1.0
Ghana,Spain,0,1,2025-01-23,0,0.8
South Korea,Italy,0,1,2025-01-23,1,1.0
France,Germany,2,0,2025-01-23,0,0.8
Portugal,Argentina,2,0,2025-01-23,0,0.8
Spain,Uruguay,1,1,2025-01-24,1,1.0
Germany,USA,1,1,2025-01-24,1,1.0
Belgium,Morocco,2,1,2025-01-24,1,1.0
Netherlands,Ghana,2,0,2025-01-24,0,0.8
Spain,Brazil,1,2,2025-01-24,0,0.8
Argentina,Mexico,2,2,2025-01-24,0,0.8
Netherlands,Brazil,3,1,2025-01-24,0,0.8
Senegal,Canada,2,0,2025-01-25,0,0.8
Mexico,Uruguay,1,0,2025-01-25,1,1.0
Ghana,Argentina,2,1,2025-01-25,1,1.0
Morocco,Uruguay,0,0,2025-01-25,0,0.8
Australia,Japan,1,2,2025-01-25,0,0.8
Belgium,Switzerland,4,2,2025-01-26,0,0.8
USA,Senegal,3,0,2025-01-26,0,0.8
England,Spain,1,1,2025-01-26,0,0.8
Poland,Germany,0,1,2025-01-26,0,0.8
Australia,France,0,0,2025-01-26,0,0.8
USA,Australia,1,1,2025-01-27,1,1.0
Spain,Switzerland,6,2,2025-01-27,0,0.8
Portugal,Japan,3,0,2025-01-27,0,0.8
Italy,Uruguay,2,0,2025-01-27,0,0.8
Portugal,Morocco,2,1,2025-01-27,0,0.8
Netherlands,Portugal,2,1,2025-01-28,0,0.8
Spain,Mexico,4,0,2025-01-28,0,0.8
Netherlands,Denmark,4,1,2025-01-28,0,0.8
Netherlands,Croatia,2,1,2025-01-29,0,0.8
England,Japan,0,1,2025-01-29,1,1.0
Brazil,South Korea,7,1,2025-01-29,0,0.8
Portugal,Poland,1,0,2025-01-29,0,0.8
Switzerland,France,0,0,2025-01-29,0,0.8
Japan,Spain,2,3,2025-01-29,0,0.8
Portugal,Poland,1,0,2025-01-29,0,0.8
Spain,Germany,1,1,2025-01-30,0,0.8
Japan,Portugal,1,2,2025-01-30,1,1.0
Denmark,Argentina,0,0,2025-01-30,1,1.0
Canada,Morocco,1,1,2025-01-30,0,0.8
South Korea,Belgium,1,2,2025-01-30,0,0.8
South Korea,Poland,1,1,2025-01-31,1,1.0
Poland,Senegal,3,0,2025-02-01,0,0.8
Italy,Denmark,2,0,2025-02-01,0,0.8
Morocco,Japan,3,1,2025-02-01,0,0.8
Italy,Senegal,1,0,2025-02-01,0,0.8
Senegal,Denmark,2,0,2025-02-01,0,0.8
Germany,Spain,0,1,2025-02-01,1,1.0
Denmark,Japan,3,3,2025-02-01,0,0.8
Argentina,Croatia,0,0,2025-02-01,1,1.0
Uruguay,Brazil,1,3,2025-02-02,1,1.0
Poland,Germany,2,0,2025-02-02,0,0.8
Switzerland,Spain,0,3,2025-02-02,1,1.0
England,USA,1,0,2025-02-02,0,0.8
Croatia,Morocco,3,0,2025-02-02,0,0.8
Denmark,Mexico,2,1,2025-02-02,0,0.8
Croatia,Portugal,1,1,2025-02-03,0,0.8
USA,Netherlands,1,2,2025-02-03,0,0.8
Argentina,Mexico,3,1,2025-02-03,0,0.8
Brazil,Croatia,1,0,2025-02-04,1,1.0
Spain,Japan,3,0,2025-02-04,0,0.8
Denmark,Australia,0,0,2025-02-04,0,0.8
Belgium,France,2,0,2025-02-04,0,0.8
Belgium,Italy,2,1,2025-02-05,0,0.8
Morocco,Uruguay,0,1,2025-02-05,1,1.0
Senegal,Belgium,0,2,2025-02-05,0,0.8
Portugal,Mexico,4,0,2025-02-05,0,0.8
Spain,Germany,2,0,2025-02-05,1,1.0
Belgium,Japan,1,3,2025-02-06,1,1.0
Switzerland,Denmark,2,5,2025-02-06,0,0.8
Portugal,Japan,1,0,2025-02-06,0,0.8
Argentina,Belgium,2,2,2025-02-06,1,1.0
Senegal,Uruguay,1,3,2025-02-06,0,0.8
Ghana,Morocco,2,3,2025-02-06,1,1.0
Australia,Argentina,0,1,2025-02-06,0,0.8
Argentina,Spain,0,1,2025-02-06,0,0.8
Uruguay,France,1,4,2025-02-06,1,1.0
Portugal,Denmark,2,0,2025-02-07,0,0.8
Germany,Portugal,2,0,2025-02-07,0,0.8
Canada,Senegal,2,2,2025-02-07,0,0.8
Ghana,Netherlands,1,1,2025-02-08,1,1.0
Croatia,Spain,1,1,2025-02-08,0,0.8
Italy,France,1,0,2025-02-08,0,0.8
Canada,England,0,2,2025-02-08,1,1.0
France,Brazil,1,1,2025-02-08,0,0.8
England,Brazil,0,5,2025-02-08,0,0.8
England,Ghana,0,0,2025-02-08,0,0.8
USA,Brazil,0,2,2025-02-08,0,0.8
Portugal,Argentina,0,2,2025-02-08,1,1.0
Belgium,Poland,3,1,2025-02-08,0,0.8
Belgium,Switzerland,1,0,2025-02-08,0,0.8
Croatia,Brazil,0,1,2025-02-09,0,0.8
Canada,Brazil,2,3,2025-02-09,0,0.8
Belgium,Brazil,0,1,2025-02-09,0,0.8
Portugal,Japan,6,0,2025-02-09,0,0.8
Argentina,Ghana,4,0,2025-02-10,0,0.8
Netherlands,Croatia,1,0,2025-02-10,1,1.0
Australia,Mexico,3,1,2025-02-10,0,0.8
Brazil,Uruguay,0,0,2025-02-10,0,0.8
France,Japan,3,0,2025-02-11,0,0.8
Germany,Netherlands,7,0,2025-02-11,0,0.8
Uruguay,Morocco,0,2,2025-02-12,1,1.0
Australia,Croatia,0,1,2025-02-12,0,0.8
Switzerland,Morocco,0,0,2025-02-12,0,0.8
Spain,Belgium,2,2,2025-02-12,0,0.8
Mexico,Denmark,4,1,2025-02-12,0,0.8
Japan,Senegal,2,4,2025-02-12,0,0.8
Australia,Brazil,1,1,2025-02-12,1,1.0
Belgium,England,2,2,2025-02-12,1,1.0
South Korea,Morocco,1,0,2025-02-13,0,0.8
Japan,Belgium,1,1,2025-02-13,0,0.8
USA,Portugal,0,2,2025-02-14,0,0.8
Netherlands,Spain,2,1,2025-02-14,0,0.8
Croatia,Belgium,1,2,2025-02-14,0,0.8
Croatia,Spain,2,1,2025-02-14,1,1.0
USA,Argentina,1,2,2025-02-15,0,0.8
Uruguay,Ghana,4,1,2025-02-15,0,0.8
Morocco,Spain,0,0,2025-02-15,1,1.0
Belgium,Poland,0,0,2025-02-15,1,1.0
Croatia,Denmark,2,0,2025-02-15,0,0.8
Denmark,Ghana,0,1,2025-02-15,0,0.8
Italy,Croatia,1,0,2025-02-15,1,1.0
Belgium,Brazil,1,1,2025-02-16,1,1.0
Denmark,Ghana,1,1,2025-02-16,0,0.8
South Korea,Netherlands,0,1,2025-02-16,0,0.8
Brazil,Canada,1,0,2025-02-16,1,1.0
Morocco,Poland,1,0,2025-02-17,1,1.0
England,Morocco,1,0,2025-02-17,1,1.0
Uruguay,Spain,3,1,2025-02-17,0,0.8
Canada,Italy,1,1,2025-02-17,0,0.8
Australia,Poland,0,0,2025-02-17,1,1.0
Netherlands,Canada,3,0,2025-02-18,0,0.8
Mexico,Belgium,2,3,2025-02-18,0,0.8
Australia,South Korea,3,0,2025-02-18,0,0.8
England,Croatia,1,3,2025-02-18,1,1.0
Italy,Senegal,3,1,2025-02-18,0,0.8
Argentina,Brazil,1,1,2025-02-19,0,0.8
Portugal,USA,3,0,2025-02-19,1,1.0
Brazil,Netherlands,2,1,2025-02-19,1,1.0
Belgium,Uruguay,4,1,2025-02-19,0,0.8
Belgium,Italy,1,4,2025-02-20,0,0.8
Uruguay,England,0,2,2025-02-20,0,0.8
Poland,Croatia,0,2,2025-02-20,0,0.8
Australia,Belgium,1,3,2025-02-20,0,0.8
Italy,Brazil,1,0,2025-02-20,0,0.8
Netherlands,England,3,0,2025-02-20,1,1.0
Switzerland,Australia,2,2,2025-02-20,0,0.8
Croatia,Senegal,1,2,2025-02-21,0,0.8
Poland,Morocco,0,0,2025-02-21,1,1.0
Italy,England,4,4,2025-02-21,0,0.8
Belgium,Croatia,2,0,2025-02-21,0,0.8
Morocco,Italy,3,0,2025-02-21,1,1.0
Japan,Senegal,2,1,2025-02-21,0,0.8
Denmark,Belgium,2,2,2025-02-21,1,1.0
Argentina,England,4,1,2025-02-21,0,0.8
Japan,Denmark,0,1,2025-02-21,0,0.8
Brazil,Portugal,2,1,2025-02-21,1,1.0
South Korea,Australia,1,0,2025-02-21,1,1.0
Spain,Uruguay,1,0,2025-02-22,0,0.8
Italy,Denmark,1,0,2025-02-22,1,1.0
USA,Australia,2,0,2025-02-22,0,0.8
Croatia,USA,1,0,2025-02-22,0,0.8
Denmark,USA,3,1,2025-02-22,0,0.8
Ghana,Switzerland,0,2,2025-02-22,1,1.0
Senegal,Netherlands,0,2,2025-02-23,0,0.8
Mexico,Denmark,1,1,2025-02-23,1,1.0
Ghana,Mexico,4,1,2025-02-23,0,0.8
Ghana,Poland,1,1,2025-02-23,0,0.8
Spain,Uruguay,1,0,2025-02-23,0,0.8
Senegal,Mexico,2,2,2025-02-23,1,1.0
Australia,Uruguay,1,1,2025-02-24,1,1.0
France,Argentina,0,2,2025-02-24,0,0.8
Senegal,Portugal,0,2,2025-02-24,0,0.8
Argentina,USA,2,1,2025-02-24,0,0.8
Switzerland,USA,4,0,2025-02-24,0,0.8
Croatia,Uruguay,0,1,2025-02-24,1,1.0
Germany,Australia,1,0,2025-02-25,0,0.8
Portugal,France,2,3,2025-02-25,1,1.0
Denmark,Poland,2,0,2025-02-25,0,0.8
Switzerland,Netherlands,0,0,2025-02-25,1,1.0
Canada,Ghana,2,1,2025-02-25,1,1.0
Uruguay,Germany,1,0,2025-02-25,1,1.0
France,Japan,0,0,2025-02-25,1,1.0
Argentina,France,0,1,2025-02-25,0,0.8
Switzerland,France,1,2,2025-02-25,0,0.8
Canada,USA,1,0,2025-02-25,0,0.8
Italy,Argentina,2,3,2025-02-26,0,0.8
Morocco,Senegal,5,0,2025-02-26,0,0.8
Germany,Netherlands,0,0,2025-02-26,1,1.0
Brazil,Portugal,3,1,2025-02-26,0,0.8
Netherlands,Uruguay,0,1,2025-02-26,1,1.0
Croatia,England,3,1,2025-02-26,0,0.8
Senegal,South Korea,3,0,2025-02-26,0,0.8
Mexico,Morocco,0,2,2025-02-27,1,1.0
Denmark,Morocco,1,0,2025-02-27,0,0.8
Spain,Portugal,2,0,2025-02-27,1,1.0
Netherlands,France,1,0,2025-02-27,0,0.8
Germany,Poland,3,0,2025-02-27,0,0.8
England,Senegal,2,0,2025-02-27,1,1.0
Belgium,Croatia,0,2,2025-02-27,1,1.0
England,Mexico,3,0,2025-02-28,0,0.8
Morocco,Spain,0,2,2025-02-28,0,0.8
USA,Ghana,1,1,2025-02-28,1,1.0
USA,South Korea,1,1,2025-02-28,1,1.0
Canada,Argentina,0,3,2025-02-28,1,1.0
Argentina,Portugal,0,0,2025-02-28,1,1.0
Italy,Morocco,2,0,2025-02-28,0,0.8
Morocco,England,1,1,2025-03-01,1,1.0
Portugal,Canada,3,1,2025-03-01,1,1.0
USA,Netherlands,0,0,2025-03-01,0,0.8
Germany,Spain,1,1,2025-03-01,0,0.8
Australia,Japan,1,2,2025-03-01,1,1.0
England,Mexico,1,5,2025-03-01,1,1.0
Croatia,Mexico,2,1,2025-03-01,0,0.8
Uruguay,Ghana,4,0,2025-03-01,1,1.0
South Korea,Senegal,3,1,2025-03-01,1,1.0
Switzerland,France,2,3,2025-03-02,1,1.0
Belgium,Uruguay,1,0,2025-03-02,1,1.0
Croatia,Australia,2,0,2025-03-02,0,0.8
Canada,Germany,0,7,2025-03-02,0,0.8
Brazil,Netherlands,1,3,2025-03-02,0,0.8
Canada,Uruguay,0,4,2025-03-02,0,0.8
France,USA,0,0,2025-03-03,1,1.0
Argentina,Netherlands,3,0,2025-03-03,0,0.8
Poland,England,0,5,2025-03-03,1,1.0
Morocco,Australia,2,0,2025-03-03,0,0.8
Uruguay,Portugal,1,2,2025-03-03,0,0.8
Senegal,Poland,0,0,2025-03-03,0,0.8
Poland,Uruguay,0,1,2025-03-03,1,1.0
Germany,Ghana,5,3,2025-03-04,0,0.8
Argentina,Uruguay,3,0,2025-03-04,1,1.0
Canada,Croatia,0,0,2025-03-04,0,0.8
Germany,Denmark,2,0,2025-03-04,0,0.8
Portugal,Croatia,1,1,2025-03-04,0,0.8
Japan,Portugal,1,3,2025-03-04,0,0.8
USA,Senegal,2,1,2025-03-04,1,1.0
France,Switzerland,0,0,2025-03-04,1,1.0
Senegal,Denmark,1,1,2025-03-05,1,1.0
Canada,Italy,1,2,2025-03-05,0,0.8
England,South Korea,2,0,2025-03-05,1,1.0
Poland,France,0,3,2025-03-05,0,0.8
Italy,Brazil,3,0,2025-03-05,0,0.8
Morocco,Australia,0,0,2025-03-05,0,0.8
Senegal,Brazil,1,3,2025-03-05,1,1.0
Japan,Mexico,2,2,2025-03-05,1,1.0
Switzerland,Denmark,0,1,2025-03-05,0,0.8
Morocco,Denmark,3,0,2025-03-06,0,0.8
Japan,Ghana,2,1,2025-03-06,0,0.8
Croatia,Portugal,4,1,2025-03-06,0,0.8
Denmark,Brazil,0,2,2025-03-06,1,1.0
Australia,Mexico,1,4,2025-03-07,0,0.8
Australia,Croatia,3,1,2025-03-07,1,1.0
Japan,Spain,2,1,2025-03-07,1,1.0
Portugal,Italy,0,2,2025-03-07,0,0.8
Spain,Argentina,0,1,2025-03-07,0,0.8
Brazil,Morocco,2,1,2025-03-07,0,0.8
Morocco,Spain,1,2,2025-03-07,0,0.8
Belgium,Brazil,1,1,2025-03-07,0,0.8
Switzerland,Netherlands,1,1,2025-03-08,0,0.8
Mexico,USA,4,1,2025-03-08,0,0.8
Japan,Brazil,0,0,2025-03-08,0,0.8
Portugal,Argentina,1,3,2025-03-08,0,0.8
Portugal,Denmark,4,0,2025-03-08,1,1.0
England,Belgium,3,0,2025-03-09,1,1.0
Australia,Mexico,1,1,2025-03-09,0,0.8
Canada,Switzerland,1,0,2025-03-09,0,0.8
Belgium,Italy,1,2,2025-03-09,0,0.8
Germany,Mexico,1,0,2025-03-09,0,0.8
Portugal,Japan,0,3,2025-03-09,0,0.8
Senegal,Switzerland,2,0,2025-03-10,0,0.8
Switzerland,Belgium,2,3,2025-03-10,0,0.8
Belgium,Ghana,2,1,2025-03-10,1,1.0
Poland,Denmark,0,0,2025-03-10,1,1.0
Switzerland,Spain,2,2,2025-03-10,0,0.8
Ghana,England,1,1,2025-03-11,0,0.8
USA,Netherlands,2,2,2025-03-11,0,0.8
South Korea,Italy,1,1,2025-03-12,0,0.8
Portugal,Morocco,1,1,2025-03-12,0,0.8
Switzerland,Brazil,0,1,2025-03-12,0,0.8
Canada,Morocco,1,2,2025-03-13,1,1.0
England,Brazil,3,2,2025-03-14,0,0.8
Japan,Portugal,2,0,2025-03-14,1,1.0
South Korea,Japan,2,0,2025-03-14,0,0.8
Italy,Ghana,2,0,2025-03-15,0,0.8
Netherlands,Australia,3,0,2025-03-15,0,0.8
Uruguay,Australia,1,0,2025-03-15,0,0.8
Brazil,Uruguay,1,1,2025-03-15,0,0.8
Poland,Argentina,0,4,2025-03-15,0,0.8
Mexico,Senegal,1,1,2025-03-15,0,0.8
South Korea,Belgium,0,3,2025-03-15,0,0.8
Senegal,South Korea,3,0,2025-03-15,1,1.0
Argentina,Morocco,3,1,2025-03-15,0,0.8
Germany,Canada,2,0,2025-03-16,1,1.0
Australia,England,1,0,2025-03-16,0,0.8
Australia,Italy,1,0,2025-03-16,0,0.8
Switzerland,Denmark,2,2,2025-03-16,1,1.0
France,Brazil,0,2,2025-03-17,0,0.8
USA,Japan,2,1,2025-03-17,1,1.0
Denmark,Uruguay,2,0,2025-03-17,0,0.8
France,Portugal,4,2,2025-03-17,1,1.0
Ghana,USA,0,0,2025-03-17,1,1.0
Brazil,Japan,2,0,2025-03-17,0,0.8
Italy,Canada,1,1,2025-03-17,0,0.8
England,Switzerland,1,1,2025-03-18,0,0.8
Denmark,Croatia,1,0,2025-03-18,0,0.8
Switzerland,Germany,0,1,2025-03-18,0,0.8
Morocco,Spain,0,1,2025-03-18,0,0.8
Poland,Uruguay,2,0,2025-03-18,1,1.0
Japan,Italy,3,1,2025-03-18,0,0.8
Denmark,Uruguay,0,2,2025-03-18,0,0.8
Australia,Italy,1,6,2025-03-18,0,0.8
Poland,Ghana,2,1,2025-03-19,0,0.8
England,Poland,3,0,2025-03-19,0,0.8
Italy,England,3,1,2025-03-19,0,0.8
Senegal,Australia,0,1,2025-03-19,1,1.0
Morocco,Senegal,2,0,2025-03-19,0,0.8
Italy,Spain,0,0,2025-03-20,0,0.8
Belgium,Croatia,4,2,2025-03-20,0,0.8
Spain,Netherlands,0,2,2025-03-20,0,0.8
Japan,USA,0,0,2025-03-20,1,1.0
Senegal,Croatia,0,1,2025-03-20,0,0.8
France,Spain,3,0,2025-03-20,0,0.8
USA,Spain,1,2,2025-03-20,1,1.0
Italy,Germany,2,0,2025-03-21,1,1.0
Denmark,Ghana,1,0,2025-03-21,1,1.0
Australia,Ghana,4,0,2025-03-21,0,0.8
Ghana,Italy,1,1,2025-03-21,0,0.8
Australia,Italy,0,0,2025-03-21,1,1.0
Portugal,Poland,2,1,2025-03-21,0,0.8
Canada,Senegal,2,2,2025-03-21,1,1.0
Canada,Argentina,0,1,2025-03-21,0,0.8
USA,Brazil,2,3,2025-03-22,1,1.0
South Korea,Australia,0,1,2025-03-22,1,1.0
Japan,Argentina,1,0,2025-03-22,1,1.0
Canada,Switzerland,0,3,2025-03-22,1,1.0
Japan,Portugal,0,0,2025-03-23,0,0.8
Japan,Argentina,2,3,2025-03-23,1,1.0
Canada,Japan,0,1,2025-03-24,0,0.8
Brazil,Italy,0,1,2025-03-24,0,0.8
Poland,England,1,0,2025-03-24,0,0.8
France,Spain,1,2,2025-03-24,1,1.0
